,Experiment,Sample,Cells,Input_replicate,Input_adapter,Input_fastq,CLIP_replicate,CLIP_adapter,CLIP_fastq,RBP,Accession,phase
7,FXR2_HepG2_4098,FXR2_HepG2_4098,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4098_INPUT2_S4_L008_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA2.fasta,/tscc/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4098_CLIP2_S2_L008_R1_001.fastq.gz,FXR2,4098,ENCORE
8,TARDBP_HepG2_4110,TARDBP_HepG2_4110,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_INPUT1_S11_L008_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_CLIP1_S9_L008_R1_001.fastq.gz,TARDBP,4110,ENCORE
9,TARDBP_HepG2_4110,TARDBP_HepG2_4110,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_INPUT2_S12_L008_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20190923_eric_encore_clips/igm-storage1.ucsd.edu/190911_K00180_0897_BH5MNFBBXY_SR75_Combo_2/4110_CLIP2_S10_L008_R1_001.fastq.gz,TARDBP,4110,ENCORE
10,NCL_HepG2_4069,NCL_HepG2_4069,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4069_A_IN_S28_L007_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4069_A_IP_S26_L007_R1_001.fastq.gz,NCL,4069,ENCORE
11,NCL_HepG2_4069,NCL_HepG2_4069,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4069_B_IN_S29_L007_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4069_B_IP_S27_L007_R1_001.fastq.gz,NCL,4069,ENCORE
12,DDX47_HepG2_4071,DDX47_HepG2_4071,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4071_A_IN_S48_L008_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4071_A_IP_S46_L008_R1_001.fastq.gz,DDX47,4071,ENCORE
13,DDX47_HepG2_4071,DDX47_HepG2_4071,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4071_B_IN_S49_L008_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/20191017_191011_K00180_0912_BH5LVTBBXY_SR75_Combo/4071_B_IP_S47_L008_R1_001.fastq.gz,DDX47,4071,ENCORE
14,EIF4E_HepG2_4082,EIF4E_HepG2_4082,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4082_INPUT1_S9_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4082_CLIP1_S10_L001_R1_001.fastq.gz,EIF4E,4082,ENCORE
15,EIF4E_HepG2_4082,EIF4E_HepG2_4082,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4082_INPUT2_S11_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4082_CLIP2_S12_L001_R1_001.fastq.gz,EIF4E,4082,ENCORE
16,UBCH7_HepG2_4072,UBCH7_HepG2_4072,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4072_INPUT1_S31_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4072_CLIP1_S32_L002_R1_001.fastq.gz,UBCH7,4072,ENCORE
17,UBCH7_HepG2_4072,UBCH7_HepG2_4072,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4072_INPUT2_S33_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4072_CLIP2_S34_L002_R1_001.fastq.gz,UBCH7,4072,ENCORE
18,APEX1_HepG2_4081,APEX1_HepG2_4081,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4081_INPUT1_S35_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4081_CLIP1_S36_L002_R1_001.fastq.gz,APEX1,4081,ENCORE
19,APEX1_HepG2_4081,APEX1_HepG2_4081,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4081_INPUT2_S37_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4081_CLIP2_S38_L002_R1_001.fastq.gz,APEX1,4081,ENCORE
20,ELAVL1_HepG2_4083,ELAVL1_HepG2_4083,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4083_INPUT1_S43_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4083_CLIP1_S44_L002_R1_001.fastq.gz,ELAVL1,4083,ENCORE
21,ELAVL1_HepG2_4083,ELAVL1_HepG2_4083,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4083_INPUT2_S45_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20200204_encode_florian_clips/igm-storage2.ucsd.edu/191206_A00953_0034_AHH7JMDRXX/Fastq/4083_CLIP2_S46_L002_R1_001.fastq.gz,ELAVL1,4083,ENCORE
22,EIF2B3_HepG2_4097,EIF2B3_HepG2_4097,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4097_INPUT1_S9_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA2.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4097_CLIP1_S10_L001_R1_001.fastq.gz,EIF2B3,4097,ENCORE
23,EIF2B3_HepG2_4097,EIF2B3_HepG2_4097,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4097_INPUT2_S11_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA2.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4097_CLIP2_S12_L001_R1_001.fastq.gz,EIF2B3,4097,ENCORE
24,CTCF_HepG2_4111,CTCF_HepG2_4111,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4111_INPUT1_S21_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4111_CLIP1_S22_L001_R1_001.fastq.gz,CTCF,4111,ENCORE
25,CTCF_HepG2_4111,CTCF_HepG2_4111,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4111_INPUT2_S23_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4111_CLIP2_S24_L001_R1_001.fastq.gz,CTCF,4111,ENCORE
26,EEF2_HepG2_4107,EEF2_HepG2_4107,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4107_INPUT1_S26_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4107_CLIP1_S27_L002_R1_001.fastq.gz,EEF2,4107,ENCORE
27,EEF2_HepG2_4107,EEF2_HepG2_4107,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4107_INPUT2_S28_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4107_CLIP2_S29_L002_R1_001.fastq.gz,EEF2,4107,ENCORE
28,GARS_HepG2_4108,GARS_HepG2_4108,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4108_INPUT1_S30_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4108_CLIP1_S31_L002_R1_001.fastq.gz,GARS,4108,ENCORE
29,GARS_HepG2_4108,GARS_HepG2_4108,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4108_INPUT2_S32_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4108_CLIP2_S33_L002_R1_001.fastq.gz,GARS,4108,ENCORE
30,KPNB1_HepG2_4109,KPNB1_HepG2_4109,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4109_INPUT1_S34_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4109_CLIP1_S35_L002_R1_001.fastq.gz,KPNB1,4109,ENCORE
31,KPNB1_HepG2_4109,KPNB1_HepG2_4109,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4109_INPUT2_S36_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4109_CLIP2_S37_L002_R1_001.fastq.gz,KPNB1,4109,ENCORE
32,PRPF39_HepG2_4114,PRPF39_HepG2_4114,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4114_INPUT1_S38_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4114_CLIP1_S39_L002_R1_001.fastq.gz,PRPF39,4114,ENCORE
33,PRPF39_HepG2_4114,PRPF39_HepG2_4114,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4114_INPUT2_S40_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4114_CLIP2_S41_L002_R1_001.fastq.gz,PRPF39,4114,ENCORE
34,SF3A1_HepG2_4117,SF3A1_HepG2_4117,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4117_INPUT1_S46_L002_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4117_CLIP1_S47_L002_R1_001.fastq.gz,SF3A1,4117,ENCORE
35,SF3A1_HepG2_4117,SF3A1_HepG2_4117,HepG2,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4117_INPUT2_S48_L002_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20191217_bennett_garshott_rnf10/4117_CLIP2_S49_L002_R1_001.fastq.gz,SF3A1,4117,ENCORE
36,NONO_HepG2_4084,NONO_HepG2_4084,HepG2,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/20200226_encore_clips/igm-storage2.ucsd.edu/200226_K00180_0951_AHGHJFBBXY_SR75_Combo/4084_INPUT1_S51_L004_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/bb63a25/examples/inputs/InvRNA4.fasta,/tscc/projects/ps-yeolab4/seqdata/20200226_encore_clips/igm-storage2.ucsd.edu/200226_K00180_0951_AHGHJFBBXY_SR75_Combo/4084_CLIP1_S52_L004_R1_001.fastq.gz,NONO,4084,ENCORE
